journal_id,journal_name,primary_issn,primary_container,primary_years,other_issn,other_container,other_years,other_n,sampled,kind
27,Journal of Evidence-Based Social Work,"1543-3714,1543-3722",Journal of Evidence-Based Social Work,2004-2014,"2640-8066,2640-8074",Journal of Evidence-Based Social Work,2019-2025,56,120,rename
49,Families in Society,0037-7678,Social Casework,1950-1989,"1044-3894,1945-1350",Families in Society: The Journal of Contemporary Social Services,1990-2025,38,120,rename
230,Journal of Technology in Human Services,"1522-8835,1522-8991",Journal of Technology in Human Services,1999-2024,0740-445X,Computers in Human Services,1987-1998,20,120,rename
49,Families in Society,0037-7678,Social Casework,1950-1989,0887-400X,The Family,1922-1945,17,120,rename
20,International Journal of Social Welfare,"1369-6866,1468-2397",International Journal of Social Welfare,2000-2025,0907-2055,Scandinavian Journal of Social Welfare,1996-1998,11,120,rename
43,Social Work Research,"1070-5309,1545-6838",Social Work Research,1994-2025,0148-0847,Social Work Research and Abstracts,1979-1991,4,120,rename
233,International Journal of Social Work Values and Ethics,2790-6345,International Journal of Social Work Values and Ethics,2021-2024,1553-6947,Journal of Social Work Values and Ethics,2020-2021,4,120,rename
13,Journal of Social Work in End-Of-Life & Palliative Care,"1552-4256,1552-4264",Journal of Social Work in End-of-Life &amp; Palliative Care,2005-2025,0276-3850,Journal of Social Work &amp; Human Sexuality,1993-1993,3,120,rename
49,Families in Society,0037-7678,Social Casework,1950-1989,8755-4879,The Journal of Social Casework,1947-1948,3,120,rename
