record_id,doi,series,year,crossref_container,crossref_issn,series_is_J041,issn_is_glss,not_gerontological_issn,container_is_glss,year_in_glss_era,crossref_years,title
98577,10.1300/j041v16n02_08,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",Three decades in the gay community as a straight therapist
98578,10.1300/j041v16n03_09,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",The importance of GLBT think tanks to our agenda of equality and liberation
98579,10.1300/j041v15n03_14,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2003,Homosexuality in midlife: Narrative and identity
98580,10.1300/j041v16n01_04,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",Towards equality through legal reform: Empowerment and mobilization of the tongzhi (LGBT) community in Hong Kong
98581,10.1300/j041v16n02_07,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",Psychotherapy with lesbian and gay clients from an adult life course perspective
98582,10.1300/j041v16n02_06,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",Beginning practice with preoperative male-to-female transgender clients
98583,10.1300/j041v15n03_05,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2003,Gay bars and serendipity
98584,10.1300/j041v16n03_05,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008","Resisting fragmentation, living whole: Four female transgender students of color speak about school"
98585,10.1300/j041v15n01_10,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2003,A study of sampling in research in the field of lesbian and gay studies
98586,10.1300/j041v15n03_01,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2003,Something special
98587,10.1300/j041v15n01_06,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2003,Research with gay drug users and the interface with hiv: Current methodological issues for social work research
98588,10.1300/j041v14n04_07,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2002,2008",When the researcher is gay or lesbian: Issues of experimenter bias
98589,10.1300/j041v15n01_08,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2003,Dimensions of lesbian identity during adolescence and young adulthood
98590,10.1300/j041v14n04_03,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2002,2008",Characteristics of a group of lesbian and gay radical street activists
98591,10.1300/j041v16n03_04,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",Organizing to amend antidiscrimination statutes in Maryland
98592,10.1300/j041v15n01_04,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2003,Empowering gay and lesbian caregivers and uncovering their unique experiences through the use of qualitative methods
98593,10.1300/j041v15n03_09,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2003,Massage man
98596,10.1300/j041v16n03_07,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",Building community-based alliances between GLBTQQA youth and adults in rural settings
98597,10.1300/j041v16n03_10,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",Assessing health and social service needs in the GLB population: The norwegian experience
98598,10.1300/j041v16n02_01,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",Club drug and poly-substance abuse and HIV among gay/bisexual men: Lessons gleaned from a community study
98599,10.1300/j041v14n04_02,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2002,2008",Recreational drug use and HIV-risk sexual behavior among men frequenting gay social venues
98600,10.1300/j041v16n03_06,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008","Building community for Toronto’s Lesbian, gay, bisexual, transsexual and transgender youth"
98601,10.1300/j041v16n03_01,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",Organizing for change: One city’s journey toward justice
