paper_id,doi,year,surname,keep_author_id,keep_name,drop_author_ids,drop_names,positions,crossref_same_surname,crossref_authors,title,refused
100297,10.31265/jcsw.v17i1.397,2022,ylinen,149539,Tyyne Ylinen,157290;107035,Tyyne Ylinen | Ylinen,1;1;1,3,4,Ethical challenges in gerontological social work in Finland during the Covid-19 pandemic,crossref_has_two_of_this_surname
100297,10.31265/jcsw.v17i1.397,2022,ylinen,149540,Vera Ylinen,157291,Vera Ylinen,2;2,3,4,Ethical challenges in gerontological social work in Finland during the Covid-19 pandemic,crossref_has_two_of_this_surname
100297,10.31265/jcsw.v17i1.397,2022,ylinen,149542,Satu Ylinen,157293,Satu Ylinen,4;4,3,4,Ethical challenges in gerontological social work in Finland during the Covid-19 pandemic,crossref_has_two_of_this_surname
100694,10.15270/40-3-335,2014,strydom,149625,Herman Strydom,157376;106685,Herman Strydom | Strydom,1;1;3,2,2,THE PSYCHO-SOCIAL CIRCUMSTANCES OF CAR GUARDS: INTERVENTIVE ROLES OF THE SOCIAL WORKER,crossref_has_two_of_this_surname
100694,10.15270/40-3-335,2014,strydom,149925,C Strydom,157676,C Strydom,2;2,2,2,THE PSYCHO-SOCIAL CIRCUMSTANCES OF CAR GUARDS: INTERVENTIVE ROLES OF THE SOCIAL WORKER,crossref_has_two_of_this_surname
109661,10.7202/1115903ar,2024,savard,125447,"Savard, Sébastien",126143;126160;126221;126266;126337,"Savard, Sébastien | Savard, Sébastien | Savard, Sébastien | Savard, Sébastien | Savard, Sébastien",1;1;1;1;1;1,2,6,Vers de nouvelles approches en santé mentale : possibilités et limites pour les francophones en situation minoritaire à ,crossref_has_two_of_this_surname
109661,10.7202/1115903ar,2024,savard,125450,"Savard, Jacinthe",126142;126159,"Savard, Jacinthe | Savard, Jacinthe",4;4;4,2,6,Vers de nouvelles approches en santé mentale : possibilités et limites pour les francophones en situation minoritaire à ,crossref_has_two_of_this_surname
109798,10.7202/1064658ar,2019,savoie,125782,"Savoie, Lise",125802;125823;125843;126345;126892,"Savoie, Lise | Savoie, Lise | Savoie, Lise | Savoie, Lise | Savoie, Lise",2;2;2;2;2;2,2,5,QUAND L’ÉTAT APPAUVRIT LES FEMMES: RÉALITÉS DE TRAVAILLEUSES DE SOINS À DOMICILE FRANCOPHONES AU NOUVEAU-BRUNSWICK,crossref_has_two_of_this_surname
109798,10.7202/1064658ar,2019,savoie,125825,"Savoie, Elda",125845,"Savoie, Elda",4;4,2,5,QUAND L’ÉTAT APPAUVRIT LES FEMMES: RÉALITÉS DE TRAVAILLEUSES DE SOINS À DOMICILE FRANCOPHONES AU NOUVEAU-BRUNSWICK,crossref_has_two_of_this_surname
109910,10.7202/1034143ar,2015,turcotte,125960,"Turcotte, Daniel",125971;126135;126171;126277;126310;126554;126800;126836;127080,"Turcotte, Daniel | Turcotte, Daniel | Turcotte, Daniel | Turcotte, Daniel | Turcotte, Daniel | Turcotte, Daniel | Turcotte, Daniel | Turcotte, Daniel | Turcotte, Daniel",3;3;3;3;3;3;3;3;3;3,2,4,Le placement auprès de personnes significatives au Québec: Portrait des enfants placés et du contexte d’intervention,crossref_has_two_of_this_surname
109910,10.7202/1034143ar,2015,turcotte,126134,"Turcotte, Geneviève",126170,"Turcotte, Geneviève",2;2,2,4,Le placement auprès de personnes significatives au Québec: Portrait des enfants placés et du contexte d’intervention,crossref_has_two_of_this_surname
109912,10.7202/1034141ar,2015,savard,125447,"Savard, Sébastien",126143;126160;126221;126266;126337,"Savard, Sébastien | Savard, Sébastien | Savard, Sébastien | Savard, Sébastien | Savard, Sébastien",5;5;5;5;5;5,2,6,Agir pour avoir accès à des services sociaux et de santé en français: Des Francophones en situation minoritaire nous ens,crossref_has_two_of_this_surname
109912,10.7202/1034141ar,2015,savard,125450,"Savard, Jacinthe",126142;126159,"Savard, Jacinthe | Savard, Jacinthe",4;4;4,2,6,Agir pour avoir accès à des services sociaux et de santé en français: Des Francophones en situation minoritaire nous ens,crossref_has_two_of_this_surname
110402,10.1142/S0219246210000033,2010,chan,127383,"Chan, Kam Wah",127386;127645,"Chan, Kam Wah | Chan, Kam Wah",1;1;1,2,2,Genealogy Of The Lone Parent,crossref_has_two_of_this_surname
110402,10.1142/S0219246210000033,2010,chan,127384,"Chan, Fung Yi",127387,"Chan, Fung Yi",2;2,2,2,Genealogy Of The Lone Parent,crossref_has_two_of_this_surname
114605,10.18060/183,2006,moore,134701,Sharon E. Moore,135079;135655;148247;155998,Sharon E. Moore | Sharon E. Moore | Sharon E. Moore | Sharon E. Moore,1;1;1;1;1,2,4,Effectively working with challenging clients who receive hunger service assistance: Case examples and eight recommended ,crossref_has_two_of_this_surname
