author_id,name_as_published,full_name,family,given_full,evidence_dois,n_papers_linked,n_papers_checked,n_papers_agreeing
78115,Andersen S.T.,"Andersen, Synnøve T.",Andersen,Synnøve T.,10.1080/2156857x.2020.1740774|10.1080/2156857x.2021.1899967,2,2,2
78116,Webb C.,"Webb, Calum",Webb,Calum,10.1080/2156857x.2021.1999846,1,1,1
78117,Keddell E.,"Keddell, Emily",Keddell,Emily,10.1080/2156857x.2021.1999846,1,1,1
78118,Ballantyne N.,"Ballantyne, Neil",Ballantyne,Neil,10.1080/2156857x.2021.1999846,1,1,1
78119,Nikupeteri A.,"Nikupeteri, Anna",Nikupeteri,Anna,10.1080/2156857x.2016.1192055|10.1080/2156857x.2021.1997790,2,2,2
78120,Skaffari P.,"Skaffari, Pia",Skaffari,Pia,10.1080/2156857x.2021.1997790,1,1,1
78121,Laitinen M.,"Laitinen, Merja",Laitinen,Merja,10.1080/2156857x.2021.1997790,1,1,1
78122,Grander M.,"Grander, Martin",Grander,Martin,10.1080/2156857x.2021.1997792,1,1,1
78123,Roelofs K.,"Roelofs, Kim",Roelofs,Kim,10.1080/2156857x.2021.1997792,1,1,1
78124,Salonen T.,"Salonen, Tapio",Salonen,Tapio,10.1080/2156857x.2021.1997792,1,1,1
78125,Barthel S.,"Barthel, Stephan",Barthel,Stephan,10.1080/2156857x.2021.1947876,1,1,1
78126,Colding J.,"Colding, Johan",Colding,Johan,10.1080/2156857x.2021.1947876,1,1,1
78127,Hiswåls A.S.,"Hiswåls, Anne-Sofie",Hiswåls,Anne-Sofie,10.1080/2156857x.2021.1947876,1,1,1
78128,Thalén P.,"Thalén, Peder",Thalén,Peder,10.1080/2156857x.2021.1947876,1,1,1
78129,Turunen P.,"Turunen, Päivi",Turunen,Päivi,10.1080/2156857x.2021.1947876|10.1080/2156857x.2022.2056812,2,2,2
78130,Sudmann T.T.,"Sudmann, Tobba T",Sudmann,Tobba T,10.1080/2156857x.2021.2019607,1,1,1
78131,Urdal G.H.S.,"Urdal, Gro Hege Saltnes",Urdal,Gro Hege Saltnes,10.1080/2156857x.2021.2019607,1,1,1
78132,Breivik J.K.,"Breivik, Jan-Kåre",Breivik,Jan-Kåre,10.1080/2156857x.2021.2019607,1,1,1
78133,Olsen G.,"Olsen, Gurli",Olsen,Gurli,10.1080/2156857x.2020.1769714,1,1,1
78134,Sugahara G.,"Sugahara, Gustavo",Sugahara,Gustavo,10.1080/2156857x.2020.1782253,1,1,1
78135,Nordvik V.,"Nordvik, Viggo",Nordvik,Viggo,10.1080/2156857x.2020.1782253,1,1,1
78136,Lindgren Ödén B.,"Lindgren Ödén, Birgit",Lindgren Ödén,Birgit,10.1080/2156857x.2020.1797857,1,1,1
78137,Björkman A.,"Björkman, Annica",Björkman,Annica,10.1080/2156857x.2020.1797857,1,1,1
78138,Eronen T.,"Eronen, Tuija",Eronen,Tuija,10.1080/2156857x.2020.1811137,1,1,1
78139,Korpinen J.,"Korpinen, Johanna",Korpinen,Johanna,10.1080/2156857x.2020.1811137,1,1,1
78140,Sjöberg S.,"Sjöberg, Stefan",Sjöberg,Stefan,10.1080/2156857x.2019.1680418|10.1080/2156857x.2021.1982753|10.1080/2156857x.2022.2056812,3,3,3
78141,Birk R.H.,"Birk, Rasmus Hoffmann",Birk,Rasmus Hoffmann,10.1080/2156857x.2021.1937289,1,1,1
78142,Roivainen I.,"Roivainen, Irene",Roivainen,Irene,10.1080/2156857x.2020.1813192,1,1,1
78143,Hiilamo H.,"Hiilamo, Heikki",Hiilamo,Heikki,10.1080/2156857x.2020.1813192,1,1,1
78144,Aasback A.W.,"Aasback, Anne Wullum",Aasback,Anne Wullum,10.1080/2156857x.2022.2045212,1,1,1
78145,Meinhardt-Injac B.,"Meinhardt-Injac, Bozana",Meinhardt-Injac,Bozana,10.1080/2156857x.2022.2041073,1,1,1
78146,Skowronek C.,"Skowronek, Carina",Skowronek,Carina,10.1080/2156857x.2022.2041073,1,1,1
78147,Haugstvedt H.,"Haugstvedt, Håvard",Haugstvedt,Håvard,10.1080/2156857x.2020.1806102,1,1,1
78148,Freysteinsdóttir F.J.,"Freysteinsdóttir, Freydís Jóna",Freysteinsdóttir,Freydís Jóna,10.1080/2156857x.2020.1733054|10.1080/2156857x.2020.1837919,2,2,2
78149,Sveinbjörnsson Brink B.M.,"Sveinbjörnsson Brink, Björn Már",Sveinbjörnsson Brink,Björn Már,10.1080/2156857x.2020.1837919,1,1,1
78150,Kings L.,"Kings, Lisa",Kings,Lisa,10.1080/2156857x.2021.1982753,1,1,1
78151,Askheim O.P.,"Askheim, Ole Petter",Askheim,Ole Petter,10.1080/2156857x.2020.1852954,1,1,1
78152,Midtgård I.H.,"Midtgård, Inger Helen",Midtgård,Inger Helen,10.1080/2156857x.2021.1997791,1,1,1
78153,Denvall V.,"Denvall, Verner",Denvall,Verner,10.1080/2156857x.2017.1309678|10.1080/2156857x.2019.1690559|10.1080/2156857x.2020.1835696|10.1080/2156857x.2021.1893210,4,4,4
78154,Müller M.,"Müller, Maja",Müller,Maja,10.1080/02185385.2023.2233490|10.1080/2156857x.2020.1756388,2,2,2
78155,Olesen A.,"Olesen, Annette",Olesen,Annette,10.1080/2156857x.2020.1756388,1,1,1
78156,Överlien C.,"Överlien, Carolina",Överlien,Carolina,10.1080/2156857x.2020.1848908,3,1,1
78157,Lagerlöf H.,"Lagerlöf, Hélène",Lagerlöf,Hélène,10.1080/2156857x.2020.1848908,1,1,1
78158,Harnett T.,"Harnett, Tove",Harnett,Tove,10.1080/2156857x.2020.1742195,1,1,1
78159,Jönson H.,"Jönson, Håkan",Jönson,Håkan,10.1080/2156857x.2020.1742195,1,1,1
78160,Bergman A.S.,"Bergman, Ann-Sofie",Bergman,Ann-Sofie,10.1080/2156857x.2020.1756387,1,1,1
78161,Melin Emilsson U.,"Melin Emilsson, Ulla",Melin Emilsson,Ulla,10.1080/2156857x.2018.1542335|10.1080/2156857x.2020.1756387,2,2,2
78163,Tokovska M.,"Tokovska, Miroslava",Tokovska,Miroslava,10.1080/2156857x.2020.1817134,1,1,1
78164,Agevall Gross L.,"Agevall Gross, Lotta",Agevall Gross,Lotta,10.1080/2156857x.2019.1690559,1,1,1
78165,Kjellgren C.,"Kjellgren, Cecilia",Kjellgren,Cecilia,10.1080/2156857x.2019.1690559,1,1,1
78166,Kabatanya C.L.,"Kabatanya, Carol Lynnet",Kabatanya,Carol Lynnet,10.1080/2156857x.2019.1644531,1,1,1
78167,Vagli Å.,"Vagli, Åse",Vagli,Åse,10.1080/2156857x.2019.1644531|10.1177/1473325006061535,2,2,2
78168,Nordling V.,"Nordling, Vanna",Nordling,Vanna,10.1080/2156857x.2021.1940246,1,1,1
78169,Persdotter M.,"Persdotter, Maria",Persdotter,Maria,10.1080/2156857x.2020.1861895|10.1080/2156857x.2021.1940246,2,2,2
78170,Juritzen T.I.,"Juritzen, Truls I.",Juritzen,Truls I.,10.1080/2156857x.2019.1604407,1,1,1
78171,Engebretsen E.,"Engebretsen, Eivind",Engebretsen,Eivind,10.1080/2156857x.2014.891534|10.1080/2156857x.2015.1067900|10.1080/2156857x.2019.1604407,3,3,3
78172,Solvang P.K.,"Solvang, Per Koren",Solvang,Per Koren,10.1080/2156857x.2019.1604407,1,1,1
78173,Lundberg A.,"Lundberg, Anna",Lundberg,Anna,10.1080/2156857x.2020.1861071,1,1,1
78174,Kjellbom P.,"Kjellbom, Pia",Kjellbom,Pia,10.1080/2156857x.2020.1861071,1,1,1
78175,Aslan P.,"Aslan, Pinar",Aslan,Pinar,10.1080/2156857x.2019.1680418,1,1,1
78176,Wikström E.,"Wikström, Eva",Wikström,Eva,10.1080/2156857x.2019.1680418,1,1,1
78178,Holmberg S.,"Holmberg, Suvi",Holmberg,Suvi,10.1080/2156857x.2020.1740773,1,1,1
78179,Jolly A.,"Jolly, Andy",Jolly,Andy,10.1080/2156857x.2020.1862898,1,1,1
78180,Lind J.,"Lind, Jacob",Lind,Jacob,10.1080/2156857x.2020.1861895|10.1080/2156857x.2020.1862898,2,2,2
78181,Mulinari P.,"Mulinari, Paula",Mulinari,Paula,10.1080/2156857x.2020.1861069,1,1,1
78182,Haugen I.,"Haugen, Ingebjørg",Haugen,Ingebjørg,10.1080/2156857x.2018.1494035|10.1080/2156857x.2019.1679661,2,2,2
78183,Ytrehus S.,"Ytrehus, Siri",Ytrehus,Siri,10.1080/2156857x.2018.1494035|10.1080/2156857x.2019.1679661,2,2,2
78184,Hämberg E.,"Hämberg, Eva",Hämberg,Eva,10.1080/2156857x.2016.1156015|10.1080/2156857x.2019.1573751,2,2,2
78185,Kallinen K.P.,"Kallinen, Kati Päivikki",Kallinen,Kati Päivikki,10.1080/2156857x.2020.1734064,1,1,1
78186,Bjerge B.,"Bjerge, Bagga",Bjerge,Bagga,10.1080/2156857x.2019.1568370|10.1080/2156857x.2019.1604683|10.1080/2156857x.2020.1699313|10.1080/2156857x.2020.1747824|10.1080/2156857x.2020.1776499|10.1080/2156857x.2020.1826253|10.1080/2156857x.2021.1940730|10.1080/2156857x.2021.2005323,8,8,8
78187,Holmlund M.,"Holmlund, Maline",Holmlund,Maline,10.1080/2156857x.2020.1868554,1,1,1
78188,Berlin M.,"Berlin, Marie",Berlin,Marie,10.1080/2156857x.2020.1749119,1,1,1
78189,Nousiainen K.,"Nousiainen, Kirsi",Nousiainen,Kirsi,10.1080/2156857x.2019.1631207,1,1,1
78190,Billsten J.,"Billsten, Johan",Billsten,Johan,10.1080/2156857x.2019.1677748,1,1,1
78191,Benderix Y.,"Benderix, Ylva",Benderix,Ylva,10.1080/2156857x.2019.1677748,1,1,1
78192,Synnes K.M.,"Synnes, Katrine Mayora",Synnes,Katrine Mayora,10.1080/2156857x.2020.1861070,1,1,1
78193,Vesterberg V.,"Vesterberg, Viktor",Vesterberg,Viktor,10.1080/2156857x.2019.1684983,1,1,1
78194,Misje T.,"Misje, Turid",Misje,Turid,10.1080/2156857x.2020.1857820,1,1,1
78195,Kokko R.L.,"Kokko, Riitta-Liisa",Kokko,Riitta-Liisa,10.1080/2156857x.2019.1602557,1,1,1
78196,Hänninen K.,"Hänninen, Kaija",Hänninen,Kaija,10.1080/2156857x.2019.1602557,1,1,1
78197,Hussénius K.,"Hussénius, Klara",Hussénius,Klara,10.1080/2156857x.2019.1601636,1,1,1
78198,Theilmann B.,"Theilmann, Birgitte",Theilmann,Birgitte,10.1080/2156857x.2020.1724188,1,1,1
78199,Ylvisaker S.,"Ylvisaker, Signe",Ylvisaker,Signe,10.1080/2156857x.2019.1690558,1,1,1
78200,Topor A.,"Topor, Alain",Topor,Alain,10.1080/2156857x.2015.1134629|10.1080/2156857x.2018.1520739,2,2,2
78201,Darvishpour M.,"Darvishpour, Mehrdad",Darvishpour,Mehrdad,10.1080/2156857x.2018.1527242,1,1,1
78202,Palm I.,"Palm, Irving",Palm,Irving,10.1080/2156857x.2018.1527242,1,1,1
78203,Luthra R.,"Luthra, Renee",Luthra,Renee,10.1080/2156857x.2018.1553734,1,1,1
78204,Westberg N.,"Westberg, Niklas",Westberg,Niklas,10.1080/2156857x.2018.1553734,1,1,1
78205,Luteberget L.,"Luteberget, Laila",Luteberget,Laila,10.1080/2156857x.2019.1602558,1,1,1
78206,Midjo T.,"Midjo, Turid",Midjo,Turid,10.1080/2156857x.2019.1602558,1,1,1
78207,Witsø A.E.,"Witsø, Aud Elisabeth",Witsø,Aud Elisabeth,10.1080/2156857x.2019.1602558,1,1,1
78208,Solvang I.M.,"Solvang, Ida Merete",Solvang,Ida Merete,10.1080/2156857x.2018.1540355,1,1,1
78209,Fernqvist S.,"Fernqvist, Stina",Fernqvist,Stina,10.1080/2156857x.2018.1547218,1,1,1
78210,Valgarðsdóttir D.I.,"Valgarðsdóttir, Dóra Ingibjörg",Valgarðsdóttir,Dóra Ingibjörg,10.1080/2156857x.2020.1733054,1,1,1
78211,Braun T.,"Braun, Thorsten",Braun,Thorsten,10.1080/2156857x.2018.1519457,1,1,1
78212,Bøggild Christensen A.,"Bøggild Christensen, Anders",Bøggild Christensen,Anders,10.1080/2156857x.2018.1519457,1,1,1
78213,Gümüscü A.,"Gümüscü, Ahmet",Gümüscü,Ahmet,10.1080/2156857x.2018.1542336,1,1,1
78214,Nygren L.,"Nygren, Lennart",Nygren,Lennart,10.1080/2156857x.2018.1542336|10.1177/002087289203500404|10.1177/1473325002001003637|10.1177/14733250260620865,5,4,4
78215,Elmersjö M.,"Elmersjö, Magdalena",Elmersjö,Magdalena,10.1080/2156857x.2018.1551240,1,1,1
78216,Poikolainen T.,"Poikolainen, Tytti",Poikolainen,Tytti,10.1080/2156857x.2019.1710241,1,1,1
78217,Jegermalm M.,"Jegermalm, Magnus",Jegermalm,Magnus,10.1080/2156857x.2018.1555096|10.1300/j083v38n04_07,2,2,2
78218,Bravell M.E.,"Bravell, Marie Ernsth",Bravell,Marie Ernsth,10.1080/2156857x.2013.768180|10.1080/2156857x.2018.1555096,2,2,2
78220,Torgé C.J.,"Torgé, Cristina Joy",Torgé,Cristina Joy,10.1080/2156857x.2018.1555096,1,1,1
78221,Ekendahl M.,"Ekendahl, Mats",Ekendahl,Mats,10.1080/2156857x.2018.1518816,1,1,1
