author_id,name,reason
263,"DEMARIA, W",paper_has_no_doi
264,"DRISKO, JW","papers_disagree: Drisko, James W. | Drisko, James Winship"
266,"FIELDEN, MA",paper_has_no_doi
269,"FYVEL, S",paper_has_no_doi
274,"HANNAM, C",paper_has_no_doi
275,"HOWARD, HE",paper_has_no_doi
279,"MURPHY, C","papers_disagree: Murphy, Catherine | Murphy, Christopher"
281,"KONDRAT, ME","papers_disagree: Kondrat, Mary E. | Kondrat, Mary Ellen"
284,"LISTER, R",paper_has_no_doi
285,"LUKTON, RC","papers_disagree: Lukton, Rosemary C. | Lukton, Rosemary Creed"
289,"MITCHELL, G",paper_has_no_doi
291,"NEWBURN, T",paper_has_no_doi
293,"PHILLIPS, N",paper_has_no_doi
294,"RABINOVITZ, H",two_same_surname_authors_on_paper
296,"STEWART, G",paper_has_no_doi
299,"TINKER, A",paper_has_no_doi
300,"WEBSTER, J",crossref_author_list_truncated
302,"GEORGE, RM",no_matching_crossref_surname
304,"CARRUTH, D",paper_has_no_doi
305,"COALE, HW",paper_has_no_doi
309,"FROLA, JV",paper_has_no_doi
312,"GOTHARD, S",paper_has_no_doi
313,"GRIFFIN, TJ",orphaned_row_no_links
317,"JOHNSTON, N",paper_has_no_doi
318,"KALAHAR, KA",paper_has_no_doi
319,"KROTCHER, JC",orphaned_row_no_links
322,"LECROY, CW",two_same_surname_authors_on_paper
323,"LEITER, D",paper_has_no_doi
327,"MATORIN, S",paper_has_no_doi
328,"MCKINNEY, CM",paper_has_no_doi
329,"MICHAELSON, R",orphaned_row_no_links
331,"GREENE, VL",paper_has_no_doi
332,"COLEMAN, PD",paper_has_no_doi
333,"OBRIEN, PJ",paper_has_no_doi
334,"PAGE, DP",paper_has_no_doi
335,"PARAD, HJ",sibling_same_surname_on_paper
338,"PETERSON, JS",paper_has_no_doi
341,"RUBIN, D",orphaned_row_no_links
342,"SAVICKI, K",paper_has_no_doi
343,"SCHORR, AL",partial_agreement: Alvin L | Alvin L.
344,"SHANER, P",orphaned_row_no_links
346,"SULLIVAN, WP","papers_disagree: Sullivan, W. Patrick | Sullivan, William Patrick"
347,"SWARTZ, BE",orphaned_row_no_links
349,"CHIPUNGU, SS",paper_has_no_doi
352,"WILLIAMS, SL",paper_has_no_doi
353,"ZAYAS, LH",partial_agreement: Luis H | Luis H.
354,"DYCHE, LA",paper_has_no_doi
355,"ABRAHAM, L",paper_has_no_doi
356,"ACHUTHAN, MR",paper_has_no_doi
357,"BARNABAS, AP",paper_has_no_doi
